Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,-0.0182359749716731,0.0009425055866023205,25.02039273347824,0.9704055999873566,1.0,0.0
Var1,Var2,5.386638079804646e-06,7.9395542021985e-06,0.01444396813064955,0.020851444912994028,-0.007366744379610912,0.003088494303498276
Var1,Var3,2.618764174537732e-05,3.059167185395295e-05,0.04722429099002122,0.05433002812866053,0.03269719010162128,0.0031038735428494256
Var1,Var4,8.003435955004977e-06,9.312084226224204e-06,0.012222539764031247,0.01411179033161329,0.0074073093044919654,0.00316672055502598
Var1,Var5,0.0004264055657210679,0.00015433307522523654,0.5685352669207536,0.20273144264521342,-0.11107890723635826,0.0032273500858452583
Var1,Var6,6.723994267347102e-05,0.0002047094835088703,0.08478610466559493,0.25247157441674173,0.15396805405878777,0.0030657546282461664
Var1,Var7,3.3652980427067124e-05,1.7900393659029065e-05,0.05229477126741263,0.02719987686136428,0.011640399354786156,0.003224733983203121
Var1,Var8,-5.3091014799890995e-06,8.382439414378304e-06,0.008173132780195255,0.012650523701816737,0.0024949038106020045,0.0031663609054718464
Var1,Var9,0.00011244284281661009,5.4905105869149436e-05,0.15846168467516256,0.07696562353579905,-0.04153508358217725,0.0030794608860632974
Var1,Var10,3.5841435807251418e-06,1.4292815423680374e-05,0.0053991606130969535,0.021319061825967864,-0.009998794226968498,0.0031205906588274075
Var1,Var11,0.004575077003735861,0.0009201398836424221,6.272786630240001,1.0969440900250649,0.7254341822861763,0.0014574645873448372
Var1,Var12,8.414711394659837e-07,5.262508613128993e-06,0.00121602393131837,0.007718748458569939,0.004916319822097292,0.0030777031512106484
Var1,Var13,4.6685614477104004e-05,3.69275772311624e-05,0.04040095320213779,0.03198326823175152,0.03936931242506221,0.0031503823026388937
Var1,Var14,6.644976036364008e-06,9.924633524633243e-06,0.007341911143718704,0.010862007231488767,0.00815147579143149,0.003184242053492599
Var1,Var15,0.0002532117618659989,8.832424142929637e-05,0.322464719254211,0.11009084089000225,-0.062044440925117544,0.0032348186985974433
Var1,Var16,-1.553916876754643e-05,0.00018869396533864946,0.022137631833963264,0.2661382066455901,0.14487801324962263,0.0031626753331886193
