Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
0,1,0.00430636328939249,-0.0030306610474915736,0.007935127509492546,0.17,50
0,2,-0.022613133675569663,-0.0021430953098456845,0.008698860719215742,0.98,50
0,3,-0.009956699790724832,-0.001372725843859442,0.007437764191491147,0.88,50
0,4,0.0014878350560906806,-0.0017835211615659834,0.0071186397962991615,0.29,50
0,5,-0.012249323002496704,-0.001442223664411703,0.008915775127728145,0.89,50
0,6,0.0036361029437334547,-0.00018337336723170394,0.008700151983015499,0.31,50
0,7,-0.011649163046582978,-8.288487594620087e-05,0.00864228699657884,0.92,50
0,8,0.002255247428388063,-5.8016829550371905e-05,0.00893551363428737,0.36,50
0,9,-0.006098419917507647,-0.0023114527133170993,0.008373169425667813,0.62,50
0,10,0.002351965395826383,-0.003021062949609663,0.00875478132398525,0.29,50
0,11,-0.006415216994899164,-0.003162743022046577,0.00814399894526002,0.67,50
0,12,-0.005434731635519829,-0.0023109792408530024,0.009179091133209026,0.62,50
0,13,0.014393907481076218,-0.0023843016420547203,0.008086777106159184,0.01,50
0,14,0.00860350901554241,-0.0017482590207928068,0.00872540154039007,0.12,50
0,15,-0.004804918221253285,-0.0006301148244020733,0.008784534259870481,0.69,50
0,16,-0.012959170155739552,-0.0012244743551734693,0.008715026611427945,0.91,50
0,17,0.007185068731610733,-0.0027483688878038827,0.00869546095219843,0.14,50
0,18,-0.016396186461602014,-0.0014275717102758805,0.008074055265489814,0.97,50
0,19,0.0111518329685516,-0.0020622793175622245,0.007792588344371797,0.05,50
0,20,-0.011613919884808921,-0.07407574059998102,0.0038282209742956656,0.0,50
0,21,-0.0273722479333548,-0.08301273022230336,0.0033540614385636266,0.0,50
0,22,-0.0023461992675468113,-0.016695182239821825,0.006238010029885312,0.0,50
0,23,0.03747884104476673,-0.004030282689665962,0.008743673681866772,0.0,50
0,24,-0.00194812703542252,-0.06305000299398879,0.004573043692739405,0.0,50
0,25,-0.005620797790351573,-0.04868268458989124,0.005266764319368522,0.0,50
0,26,-0.04544228557477836,-0.10510705829390858,0.002613658109813429,0.0,50
0,27,-0.05483315575394343,-0.10718217395203379,0.002863061239506539,0.0,50
0,28,-0.008037529164972523,-0.001252126580821194,0.008051145275171524,0.81,50
0,29,0.007804132210003867,-0.004224377998471056,0.008599377792686401,0.08,50
0,30,-0.0028464293586848433,-0.003650319990414303,0.008618128787089823,0.43,50
0,31,0.0007329150635653203,-0.05210646725214954,0.00450904743393986,0.0,50
0,32,-0.010988608092177332,-0.0031062799212022525,0.007879946136126699,0.8,50
0,33,-0.013857733199483357,-0.004343263146570146,0.008773222304258761,0.88,50
0,34,-0.04786221989148487,-0.10310873079048317,0.0027805213229774397,0.0,50
0,35,0.05433819666640255,-0.04362594843985534,0.004639047009261883,0.0,50
1,0,-0.006828814091333624,-0.002255973789824414,0.0067643497038893646,0.76,50
1,2,0.003231297653775167,-0.0016882619635662517,0.008708002486687903,0.28,50
1,3,-0.01077717615738999,-0.0029384715737570794,0.008272103592256396,0.82,50
1,4,0.005432714846631326,-0.002864724539291278,0.007057682667861749,0.15,50
1,5,-0.014729667633063825,-0.0018754121859937362,0.008412251899822365,0.95,50
1,6,0.00038631191353161176,-0.002251265651981672,0.008797492351855453,0.38,50
1,7,-0.0012611802901583702,-0.0005586646484380376,0.009042521308944139,0.56,50
1,8,0.0008102332119924172,-0.0008692411919285087,0.008388063724493192,0.49,50
1,9,-0.003270852719049977,-2.7396489271291345e-05,0.007452523729498334,0.7,50
1,10,-0.0016169859396885644,-0.0007508550384268154,0.007559381363591872,0.51,50
1,11,0.0010730875865052614,-0.002884705350168436,0.00876009047603344,0.27,50
1,12,0.01396004541053164,-0.002803777643141665,0.009042113235574302,0.0,50
1,13,-0.004690086135897276,-0.0014364591568988344,0.008666555113414891,0.64,50
1,14,-0.0060033913084309165,-0.0020483996912544146,0.009864120116547165,0.68,50
1,15,0.0030051960289903534,-0.001898568148165481,0.009031486186159945,0.28,50
1,16,0.0018800370447604742,-0.0014479355956485101,0.008673153824058717,0.36,50
1,17,0.017021111223264496,-0.00022310957447565393,0.00906858325048489,0.04,50
1,18,-0.005240150378022557,-0.001005779217181152,0.007701754175434552,0.68,50
1,19,-0.001320358871200411,-0.001190205834935838,0.008927510444530789,0.46,50
1,20,-0.01521341467115045,-0.07445544966349237,0.0042823826646336246,0.0,50
1,21,-0.02703066392328718,-0.0833633004082226,0.00436695571917154,0.0,50
1,22,0.0004919372217477291,-0.017138089769011936,0.00681360374760647,0.0,50
