Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
0,1,0.0013343276433200324,-0.0014353698409557403,0.007478185868735991,0.35,100
0,2,0.0025945721007979983,-0.0018233956536734424,0.0072534074570798565,0.29,100
0,3,-0.007849888628966128,-0.0005834701628342709,0.0073841094842960215,0.88,100
0,4,0.0065954618037673,0.00033560575315593643,0.008150186122529324,0.19,100
0,5,0.0023827397902295155,0.0003584025125699974,0.0077153968644962725,0.44,100
0,6,-0.004271997320470677,-0.00013337546204625185,0.007800296522921956,0.71,100
0,7,0.010268266555581107,-0.0018240095590269967,0.00816147486782463,0.06,100
0,8,-0.004439402072931198,-0.0005388118592599689,0.007851855619292844,0.7,100
0,9,0.006008561286363956,-0.000960942826523078,0.008238613193846485,0.22,100
0,10,-0.002543564632823181,-0.0016711162791238554,0.006774378877424418,0.52,100
0,11,0.00035079127236642416,-0.0013053514727404808,0.007220456879347895,0.43,100
0,12,0.008049724057694163,-0.0030908752113737166,0.007129837595963481,0.06,100
0,13,-0.005767091059321661,0.002010809723084343,0.008750317101999678,0.82,100
0,14,-0.002897390869239902,0.0006718304291982352,0.007113157387302875,0.71,100
0,15,0.013518451901869566,-0.0014586178235891285,0.007151725467136362,0.0,100
0,16,0.005605018321038269,-0.00026075925785125245,0.007426423290023432,0.23,100
0,17,-0.005468770775306497,-0.0018486611333141812,0.008100794108694067,0.66,100
0,18,0.018600875504748926,4.2903810027231094e-05,0.008324855547599487,0.03,100
0,19,0.008335378979044628,-0.00014590668314230616,0.00817472368354755,0.13,100
0,20,-0.03109722264928305,-0.07127716132734556,0.0037149892954913546,0.0,100
0,21,-0.0496600754089197,-0.08094082941032418,0.003248707559849175,0.0,100
0,22,-0.01843149521489479,-0.014405860076991482,0.005680856419613005,0.75,100
0,23,0.027545443919025137,-0.0027936935567773654,0.007835152951691928,0.0,100
0,24,-0.02253060510889171,-0.05980526762520471,0.0041687824258002295,0.0,100
0,25,-0.018754393142006054,-0.047397129845991925,0.004619833454614826,0.0,100
0,26,-0.06563475177206995,-0.10314260705268702,0.002641023897232883,0.0,100
0,27,-0.07527940011753254,-0.10469265585635391,0.0028460223360471416,0.0,100
0,28,0.0017666812848614044,-0.003057692426801456,0.007376752095852621,0.25,100
0,29,0.015670231326321393,-0.004168987598655258,0.007792846930398942,0.02,100
0,30,0.0012350123611288288,-0.0020401540287561335,0.007672274242568887,0.32,100
0,31,-0.012399576730436235,-0.04981612399430639,0.004859926022736875,0.0,100
0,32,0.0035928703394300654,-0.0015530301293675886,0.007331995483410087,0.26,100
0,33,0.0009158429912735078,-0.0017926301100734216,0.007058160409673635,0.36,100
0,34,-0.07756031503535199,-0.10161511792506822,0.0025156694594605845,0.0,100
0,35,0.010217490000227314,-0.04148050343818162,0.004611864531674486,0.0,100
1,0,0.008427950188812372,-0.0011149097249757644,0.007964121218853213,0.1,100
1,2,0.0028576492952266386,-0.000868423456764551,0.007373022231271602,0.31,100
1,3,-0.0018022335511313492,-0.0007850262356032622,0.008058167469220456,0.5,100
1,4,0.001504741261930731,-0.000659825867356214,0.007145295519886841,0.37,100
1,5,0.0016440726528578198,-0.00028960355426624953,0.006911585427342172,0.35,100
1,6,0.012230939316994593,0.001039827699407566,0.008469061733220701,0.14,100
1,7,0.005357076545321526,-0.00037010439702102327,0.00844224820200812,0.22,100
