Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,-0.0029663433950423072,0.0002699245804763739,21.835337262902303,1.5589714452661572,1.0,0.0
Var1,Var2,1.4720526503560647e-06,2.099393531211713e-06,0.014066909071127108,0.01864581839656474,-0.007415467831905291,0.003196022865696768
Var1,Var3,5.1677744672071145e-05,2.3639027125843054e-05,0.6944636014594114,0.30666184454569984,0.08588847459101233,0.0030750690836294386
Var1,Var4,2.48392307631868e-05,2.1525595285419094e-05,0.25239059056933827,0.20502266959867257,-0.0693459035066956,0.0031326189424370553
Var1,Var5,-7.36433196447648e-05,4.090382226190253e-05,0.828384932254599,0.4339589668979118,-0.10793935267876031,0.0031072285279195237
Var1,Var6,1.423484361309078e-05,4.859213672631113e-05,0.10061597187712651,0.3350243311997498,0.12660986372150615,0.0031709106531137093
Var1,Var7,-7.860866512587884e-07,2.275735790841309e-06,0.01020713720210045,0.0267905617054102,-0.0015517068542167337,0.0034574614254495326
Var1,Var8,-6.959873259190192e-06,8.952431290711258e-06,0.08617634416578257,0.10515492594316765,0.026025226814735517,0.003039523398172915
Var1,Var9,-1.326742456417887e-05,9.16715859298136e-06,0.1900928646011025,0.1269182301481079,-0.02698682089964579,0.003191123534658388
Var1,Var10,2.393642011672896e-07,1.3684139255674933e-06,0.0033936028966745665,0.018285225246240534,0.001975123292482766,0.0031115822918218335
Var1,Var11,5.567563970224088e-05,0.000264269607334593,0.64140106001698,2.844258684290874,0.7221613319529234,0.0014699947787842845
Var1,Var12,1.8038064412568949e-06,5.891817451914049e-06,0.014477472707189729,0.04834880726989718,0.021712875255420445,0.003265147260000812
Var1,Var13,9.303608867342999e-05,3.375666069869499e-05,0.6153688901528883,0.24143508786326118,0.1276702343408694,0.0029815735197290688
Var1,Var14,2.861025179546311e-06,8.2182560964374e-06,0.017085480719877807,0.04676358636943402,-0.027373868169787537,0.0034155839674844136
Var1,Var15,-1.5858987383427546e-05,2.7023408076626105e-05,0.1190058982986007,0.19674729531361684,-0.06921000932976386,0.003293896892501688
Var1,Var16,-6.373553715869391e-05,4.64624905629961e-05,0.3817142562225457,0.27159932487895694,0.12823836686987927,0.0031764174585541083
Var1,Var17,3.164689877313509e-07,6.676948901230686e-06,0.0036192422101833117,0.07130627863818027,0.019224682303987873,0.00322885026888147
Var1,Var18,-5.01153433830793e-06,3.4971021775980867e-06,0.04860845225084955,0.033060559244952825,0.008276764595792003,0.0030192405913389377
Var1,Var19,1.2234305807113478e-06,2.571379414219033e-06,0.016167505050055715,0.03366524016128127,0.0017134323482986783,0.0031752972448234004
Var1,Var20,-1.7948259498221555e-06,7.1241339336158915e-06,0.019126922010843646,0.07202275704231735,-0.020163683270886384,0.003132128348566778
Var1,Var21,2.0748487023198925e-06,2.2043728314524408e-06,0.10958785730064323,0.11400812560328233,0.11243747536463547,0.003129376240964261
Var1,Var22,2.269134924645217e-06,7.117944948749514e-07,0.2283172663907707,0.07947051119643425,0.01612427547777778,0.003144976898220781
Var1,Var23,4.614538977094623e-06,1.1508632153642994e-05,0.07409819325909733,0.1782694529253844,-0.10506470220088196,0.0029768367488374947
Var1,Var24,1.1416475155301068e-05,7.791485535077886e-06,0.014319721145477906,0.009686053562345951,-0.014020698049083747,0.003204547473740057
Var1,Var25,-1.584052939700334e-06,1.016848316831537e-06,0.05269875300276527,0.033735825607517124,0.03775556909657928,0.003031974125223024
Var1,Var26,-4.606809999375013e-07,3.877489580126544e-06,0.014389500953771195,0.13661194039491445,-0.046886401024174844,0.003190202086336473
Var1,Var27,7.195498372568724e-10,2.573832720507343e-09,0.00019424041608946362,0.0006928954349994962,-0.016177955440461446,0.0031331789244889276
Var1,Var28,-8.136536047765489e-08,2.659007671857044e-08,0.007568773589698392,0.0024738894119156586,-0.010425128530624557,0.0032063409217394662
Var1,Var29,-6.824331921614682e-06,5.961979838894527e-06,0.008044300754491288,0.006974083939554042,-0.02188345462932104,0.003086712341771209
