Metric,Value
TAB,10.323463630256352
TBA,-6.445835685582238
Error TAB,2.3624130103439214
Error TBA,2.6308775741057993
Significant TAB,"(True, 4.369880958602347, 1.2431428694448243e-05)"
Significant TBA,"(False, -2.4500705578339548, 0.014282822350974778)"
