Metric,Value
TAB,0.01013012509726785
TBA,1.5904649169726817
Error TAB,0.02560463376773417
Error TBA,0.08185244030463586
Significant TAB,"(False, 0.3956363988315813, 0.6923732811230938)"
Significant TBA,"(True, 19.43087965433088, 0.0)"
