Metric,Value
TAB,1.109212983489846
TBA,2.331910703055752
Error TAB,1.1876233706004555
Error TBA,1.2670627506773802
Significant TAB,"(False, 0.9339770595193276, 0.3503157266119157)"
Significant TBA,"(False, 1.840406642693187, 0.06570855896117034)"
