Metric,Value
TAB,-0.28296429693154623
TBA,1.9865904665483196
Error TAB,0.052650233139192745
Error TBA,0.16047098608763088
Significant TAB,"(True, -5.374416789066563, 7.683095382127192e-08)"
Significant TBA,"(True, 12.379748607411631, 0.0)"
