Metric,Value
TAB,0.0076806785696342805
TBA,0.019609130580988232
Error TAB,0.005426944584384688
Error TBA,0.005413678497352628
Significant TAB,"(False, 1.4152859772577029, 0.1569846647630455)"
Significant TBA,"(True, 3.6221453842479563, 0.0002921698305653475)"
