Metric,Value
TAB,0.1835791605221862
TBA,0.03152665996106603
Error TAB,0.00610551260804795
Error TBA,0.0030528426661314916
Significant TAB,"(True, 30.06777191487612, 0.0)"
Significant TBA,"(True, 10.3269848495062, 0.0)"
