Metric,Value
TAB,0.022290244414717015
TBA,0.1277635517711445
Error TAB,0.004798177071833894
Error TBA,0.008009092768053443
Significant TAB,"(True, 4.645565197158833, 3.391466416591271e-06)"
Significant TBA,"(True, 15.952312636553042, 0.0)"
