Metric,Value
TAB,0.08997071903626425
TBA,0.03341374031821388
Error TAB,0.004826354294564132
Error TBA,0.0028656511451932544
Significant TAB,"(True, 18.6415487850938, 0.0)"
Significant TBA,"(True, 11.660086530162944, 0.0)"
