Metric,Value
TAB,0.022290244414717015
TBA,0.1277635517711445
Error TAB,0.004721584759696992
Error TBA,0.007380481177091988
Significant TAB,"(True, 4.720924339849719, 2.347752645848189e-06)"
Significant TBA,"(True, 17.31100570620046, 0.0)"
