Metric,Value
TAB,0.1835791605221862
TBA,0.03152665996106603
Error TAB,0.006218378373038595
Error TBA,0.0031871143751314637
Significant TAB,"(True, 29.52203122893609, 0.0)"
Significant TBA,"(True, 9.891913577706354, 0.0)"
