Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,nan,nan,nan,nan,nan,nan
Var1,Var2,nan,nan,nan,nan,nan,nan
Var1,Var3,nan,nan,nan,nan,nan,nan
Var1,Var4,nan,nan,nan,nan,nan,nan
Var1,Var5,nan,nan,nan,nan,nan,nan
Var1,Var6,nan,nan,nan,nan,nan,nan
Var1,Var7,nan,nan,nan,nan,nan,nan
Var1,Var8,nan,nan,nan,nan,nan,nan
Var1,Var9,nan,nan,nan,nan,nan,nan
Var1,Var10,nan,nan,nan,nan,nan,nan
Var1,Var11,nan,nan,nan,nan,nan,nan
Var1,Var12,nan,nan,nan,nan,nan,nan
Var1,Var13,nan,nan,nan,nan,nan,nan
Var1,Var14,nan,nan,nan,nan,nan,nan
Var1,Var15,nan,nan,nan,nan,nan,nan
Var1,Var16,nan,nan,nan,nan,nan,nan
Var1,Var17,nan,nan,nan,nan,nan,nan
Var1,Var18,nan,nan,nan,nan,nan,nan
Var1,Var19,nan,nan,nan,nan,nan,nan
Var1,Var20,nan,nan,nan,nan,nan,nan
Var1,Var21,nan,nan,nan,nan,nan,nan
Var1,Var22,nan,nan,nan,nan,nan,nan
Var1,Var23,nan,nan,nan,nan,nan,nan
Var1,Var24,nan,nan,nan,nan,nan,nan
Var1,Var25,nan,nan,nan,nan,nan,nan
Var1,Var26,nan,nan,nan,nan,nan,nan
Var1,Var27,nan,nan,nan,nan,nan,nan
Var1,Var28,nan,nan,nan,nan,nan,nan
Var1,Var29,nan,nan,nan,nan,nan,nan
Var1,Var30,nan,nan,nan,nan,nan,nan
Var1,Var31,nan,nan,nan,nan,nan,nan
Var1,Var32,nan,nan,nan,nan,nan,nan
Var1,Var33,nan,nan,nan,nan,nan,nan
Var1,Var34,nan,nan,nan,nan,nan,nan
Var1,Var35,nan,nan,nan,nan,nan,nan
Var1,Var36,nan,nan,nan,nan,nan,nan
Var2,Var1,nan,nan,nan,nan,nan,nan
Var2,Var2,nan,nan,nan,nan,nan,nan
Var2,Var3,nan,nan,nan,nan,nan,nan
Var2,Var4,nan,nan,nan,nan,nan,nan
Var2,Var5,nan,nan,nan,nan,nan,nan
Var2,Var6,nan,nan,nan,nan,nan,nan
Var2,Var7,nan,nan,nan,nan,nan,nan
Var2,Var8,nan,nan,nan,nan,nan,nan
Var2,Var9,nan,nan,nan,nan,nan,nan
Var2,Var10,nan,nan,nan,nan,nan,nan
Var2,Var11,nan,nan,nan,nan,nan,nan
Var2,Var12,nan,nan,nan,nan,nan,nan
Var2,Var13,nan,nan,nan,nan,nan,nan
Var2,Var14,nan,nan,nan,nan,nan,nan
Var2,Var15,nan,nan,nan,nan,nan,nan
Var2,Var16,nan,nan,nan,nan,nan,nan
Var2,Var17,nan,nan,nan,nan,nan,nan
Var2,Var18,nan,nan,nan,nan,nan,nan
Var2,Var19,nan,nan,nan,nan,nan,nan
Var2,Var20,nan,nan,nan,nan,nan,nan
Var2,Var21,nan,nan,nan,nan,nan,nan
Var2,Var22,nan,nan,nan,nan,nan,nan
Var2,Var23,nan,nan,nan,nan,nan,nan
Var2,Var24,nan,nan,nan,nan,nan,nan
Var2,Var25,nan,nan,nan,nan,nan,nan
