Pair,tau12,error tau12,r,error r
tau2->18,0.03452191684663722,2.0128059644174146,0.3394174829596813,0.0941719883656904
tau2->19,2.2970244533439996,1.9408374529477377,-0.1757398799753773,0.10614793329278045
tau2->20,1.5380938677697422,1.5524834066458486,-0.18032741412165995,0.09946841789910502
tau2->21,1.354133744535841,1.1360281829369254,0.16151951316841767,0.10335680627664963
tau2->22,1.9337422935450685,1.5919161513275437,-0.24053017839867444,0.09372876814000712
tau2->23,1.424447677350732,1.2306807733325285,0.1741952555195274,0.10300702090248806
tau2->24,0.478918366388117,0.6800242299764279,-0.17230749262634637,0.09158914050951783
tau2->25,0.9591898102080589,1.1658331401659328,-0.13675477854235127,0.1093765861253437
tau2->26,0.013756947224228634,0.6801868742504642,-0.005224485848480649,0.10760568136293681
tau2->27,0.2950621612086408,0.5245733219087833,-0.08825818216027916,0.11771367978375
tau2->28,0.20178906658334206,0.40378895024686684,0.08131261172912507,0.10548285975556267
tau2->29,0.5740190266217013,1.242061152879636,0.2025110198734185,0.09118165043707513
tau2->30,1.7146555599464661,2.061224887727025,0.3537881634941525,0.09023715404880325
tau2->31,0.3837043466912885,3.160043076797556,-0.5582495323196892,0.06963666413701372
tau2->32,1.3457446624282672,1.2007741840832835,-0.14923921857422892,0.08579511687325674
tau2->33,0.11000705801482634,1.641628886734155,-0.22207320903336603,0.10838836620659112
tau2->34,0.2387919330071164,0.8714799893901489,-0.19605490874501336,0.08629968089550494
tau2->35,0.36675263776706746,0.9038201255242931,-0.0803801680334185,0.10080196212842528
tau2->36,0.04502386049102001,0.4994971754941447,-0.029812251126640096,0.09743892028496152
tau3->1,0.005611607402572442,1.4376494915601183,-0.13690945967632132,0.11629185891686616
tau3->2,0.1645838871170702,1.8034993619799775,-0.22164545101696195,0.08208243459768177
tau3->3,6.4155931543822025,8.930366268978641,1.0,0.0
tau3->4,2.7360605421103354,1.721736481997001,0.24194363378607323,0.1057907820193369
tau3->5,1.0403440840393017,2.6617511614084814,-0.35698418158078105,0.08816541731492858
tau3->6,3.6596891641577485,5.07996213606895,0.5215006121382378,0.08035996822587833
tau3->7,6.113711393203067,5.243776483440654,-0.10903999038878213,0.14443108516196132
tau3->8,1.768490889361841,4.0139789587384005,-0.4308574997469611,0.10431931193801719
tau3->9,0.6927646202094946,2.8421434654938773,-0.017780359102121463,0.11717475347608865
tau3->10,3.0866345283998275,2.8686773416905487,0.23735090432270006,0.09866103854421579
tau3->11,0.15031823301528388,1.6303355994527822,-0.14632525903340918,0.12112487775548379
tau3->12,0.05898568736076161,1.2546272319527296,0.06811128508531103,0.10455589232019265
tau3->13,2.8451984201563087,6.372459108469598,0.8354319939662053,0.03460201884146747
tau3->14,2.133181005917351,1.3412302768765016,0.3312919698734587,0.08499889817556325
tau3->15,1.2493413260792667,2.406915676317445,-0.22581635443339917,0.0909200181486688
tau3->16,0.2751335805731252,3.8105615665971606,0.5492297277055022,0.07879393535068561
