Index,Tau Value,R Value
"[0,0]",nan,1.0
"[0,1]",0.2991018885769317,-0.05336469829633099
"[0,2]",0.7026764784191204,-0.06534994079874398
"[0,3]",0.12083948322927866,0.018002516428154477
"[0,4]",4.572566440220531,-0.19013573203855688
"[0,5]",2.7735258272003134,-0.13694619470949976
"[0,6]",0.5733903995499483,0.035040089661385686
"[0,7]",0.3324747728107118,0.013539599120464423
"[0,8]",0.9269597255210598,0.050190061135161036
"[0,9]",0.3371431076304513,-0.06835110951440725
"[0,10]",28.46786679763552,0.8569700742307089
"[0,11]",0.5388867203366693,-0.055974192962246844
"[0,12]",0.7425717354297461,-0.06447129865982153
"[0,13]",5.0247691221599606e-05,-0.0010373289558291124
"[0,14]",8.877181750914483,-0.4399081195899741
"[0,15]",2.494375451844558,-0.08758488059511109
"[0,16]",1.135807259773113,0.06046259191134992
"[0,17]",0.020489065178482598,0.008381291296341995
"[0,18]",1.1589943612665736,-0.054935558147382234
"[0,19]",0.23799523628142155,-0.09623421096722261
"[0,20]",0.09228172355848456,0.13660189093220257
"[0,21]",11.973191633873137,0.5198108372850697
"[0,22]",1.922707322899205,0.19115578061270683
"[0,23]",28.967914457356812,0.7085028296172282
"[0,24]",3.996778506378012,-0.2600929344689163
"[0,25]",3.6663213456261716,-0.1810314510265444
"[0,26]",0.019672249738620796,0.048029642658237455
"[0,27]",9.950982943149006,0.5595962494699093
"[0,28]",0.09752120488129451,-0.0084691284447907
"[0,29]",39.58859038234138,0.8857707487123692
"[0,30]",0.1689983592037413,-0.0646180382816516
"[0,31]",0.3365252437049451,0.21850014500703788
"[0,32]",1.9115491450316415,-0.20042234401729692
"[0,33]",1.4420683982062454,-0.03730623720351042
"[0,34]",3.1280694979217007,-0.23433504757362708
"[0,35]",0.564890735598536,0.05818452164093549
"[1,0]",0.2311371564090275,-0.05336469829633099
"[1,1]",nan,1.0
"[1,2]",0.002848759620371234,0.001196565288123914
"[1,3]",0.04628381249421411,0.08477012222267172
"[1,4]",0.021975272017982835,-0.05537261968761034
"[1,5]",0.023007240645190035,-0.01619277145350725
"[1,6]",0.1545491261196689,-0.234989201669343
"[1,7]",0.05280279326915535,-0.023838895043390023
"[1,8]",0.015885417357764966,0.02557292667446022
"[1,9]",0.19810627252749458,0.024553588784629057
"[1,10]",0.07817757697597395,-0.03762186973682329
"[1,11]",1.9649423452090768,0.8528982433211891
"[1,12]",0.8497730920689915,-0.3981615625834469
"[1,13]",0.08778206298847284,0.2994056609111781
"[1,14]",0.05621535133671412,-0.05683662278751396
"[1,15]",0.01222627963546298,-0.01207051638538532
"[1,16]",0.09474944837551645,-0.32382924086813664
"[1,17]",0.6132592214299049,0.1677925248016127
"[1,18]",0.011087217251488805,0.049432075052955556
"[1,19]",0.5937499108759307,0.07047768797438414
"[1,20]",0.17146472128501075,-0.0523461135804558
"[1,21]",0.2464921964200888,-0.06211695299160365
"[1,22]",0.5150573394944964,-0.0892525788217815
"[1,23]",0.16473982391821007,-0.04990780344663992
"[1,24]",0.20785353079182703,0.05639841010449634
"[1,25]",0.0238491105857163,0.01851564330873265
"[1,26]",0.10872293504017422,-0.04200421453491936
"[1,27]",0.13891118209598008,-0.04682142856450943
"[1,28]",0.341798740758023,-0.07795127934689934
"[1,29]",0.11814196221779233,-0.0416126273884001
"[1,30]",0.42885831772226085,-0.08211390944737941
"[1,31]",0.0009059839648961635,0.004655360414800556
"[1,32]",0.317695912015191,0.06944451127720347
"[1,33]",0.13224606221949745,-0.04592380102253675
"[1,34]",0.181749561925636,0.05324771925028597
"[1,35]",0.07185107545977423,0.032763041941544294
"[2,0]",0.3775332719156625,-0.06534994079874398
"[2,1]",0.009372079883475999,0.001196565288123914
"[2,2]",nan,1.0
"[2,3]",0.6822334659335451,0.10974393835147352
"[2,4]",0.01838805490373557,0.00975473463085723
"[2,5]",0.0009214040771092687,-0.0012119148781150556
"[2,6]",0.09052990904527639,0.12966643573432862
"[2,7]",0.34281619747815867,-0.15112392251748916
"[2,8]",0.055261025739909125,-0.01980792810165624
"[2,9]",0.12139315883320256,0.036199636326588604
"[2,10]",0.23856248789529852,-0.05611193032617178
"[2,11]",3.796737388385906,0.35066173881028007
"[2,12]",7.67230624619372,0.824581720454465
"[2,13]",0.7682033298546687,0.27268112648333787
"[2,14]",0.3338354669304791,0.043501626926188
"[2,15]",0.010827243787195424,-0.013966313656316209
"[2,16]",0.0656346504747443,-0.031068285647432203
