File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
0s,0.023576446786140903,1.763041991330395,0.026155613235074582,0.1511233751996662,"(False, 0.9013914747188941, 0.36738021261743636)","(True, 11.666242823130707, 0.0)"
1s,0.023576446786140903,1.763041991330395,0.03726636485675521,0.12616157948405984,"(False, 0.6326468083690014, 0.5269643126553403)","(True, 13.974476211699223, 0.0)"
2s,0.02089415499233449,1.784110393542866,0.02902914217429173,0.14758972209823476,"(False, 0.7197648096828159, 0.47166981508966677)","(True, 12.088310542080794, 0.0)"
3s,0.02089415499233449,1.784110393542866,0.02721054796735946,0.13930590129630416,"(False, 0.7678696885266026, 0.44256460714529533)","(True, 12.807141527680558, 0.0)"
4s,0.02089415499233449,1.784110393542866,0.03426904435916987,0.14469531603185365,"(False, 0.6097092983785973, 0.5420543939273983)","(True, 12.33011850328387, 0.0)"
5s,0.02089415499233449,1.784110393542866,0.026479098743549145,0.17663369022760714,"(False, 0.7890810482144804, 0.43006463789341276)","(True, 10.100623449829373, 0.0)"
6s,0.02089415499233449,1.784110393542866,0.03253443056501114,0.13895547985178583,"(False, 0.6422167110189081, 0.5207324841440237)","(True, 12.83943890119233, 0.0)"
7s,0.02089415499233449,1.784110393542866,0.03799406664862737,0.1619284058589975,"(False, 0.549932050853244, 0.5823659799322061)","(True, 11.017896360298987, 0.0)"
8s,0.02089415499233449,1.784110393542866,0.037099295600803626,0.17194619049086612,"(False, 0.5631954637942477, 0.5733017914524257)","(True, 10.375980930136622, 0.0)"
9s,0.02089415499233449,1.784110393542866,0.034713452376397384,0.14926474647025076,"(False, 0.6019036875324159, 0.5472382495147863)","(True, 11.952657514468418, 0.0)"
10s,0.02089415499233449,1.784110393542866,0.03081396577922462,0.1451194622653056,"(False, 0.678074193436722, 0.4977246523277974)","(True, 12.294080791735416, 0.0)"
11s,0.023999051762949586,1.7863654836393543,0.03054762629753062,0.1795545279956893,"(False, 0.7856273848973201, 0.43208581612848573)","(True, 9.948874604166155, 0.0)"
12s,0.023999051762949586,1.7863654836393543,0.031703365289100574,0.16215963857158688,"(False, 0.7569875167542645, 0.44905734128655705)","(True, 11.016091916428062, 0.0)"
13s,0.023999051762949586,1.7863654836393543,0.03413348515459941,0.14501365936776803,"(False, 0.7030940923334273, 0.4819971135455816)","(True, 12.318601512626936, 0.0)"
14s,0.023999051762949586,1.7863654836393543,0.0274209265803788,0.13095152397180312,"(False, 0.8752093658323802, 0.3814599980974527)","(True, 13.641425692945734, 0.0)"
15s,0.023999051762949586,1.7863654836393543,0.031457251344262915,0.14773502919957718,"(False, 0.7629100044472406, 0.44551706932471546)","(True, 12.091685318761673, 0.0)"
16s,0.023999051762949586,1.7863654836393543,0.03340041535545259,0.14248023754097958,"(False, 0.7185255484863832, 0.47243330078883905)","(True, 12.537636899472233, 0.0)"
17s,0.023011482360794422,1.7833626677482766,0.029066929633846942,0.14239397563445155,"(False, 0.7916722767305542, 0.4285517913536947)","(True, 12.524144085466494, 0.0)"
18s,0.023011482360794422,1.7833626677482766,0.02730588804933894,0.15271024685399803,"(False, 0.842729682302038, 0.39937964266611026)","(True, 11.678081232186727, 0.0)"
19s,0.023011482360794422,1.7833626677482766,0.033953395280206515,0.1460059869574254,"(False, 0.6777372975776949, 0.49793827353863707)","(True, 12.21431192590956, 0.0)"
20s,0.02302838687757136,1.783432075663196,0.03181152810023546,0.16204900075259537,"(False, 0.7239006816966115, 0.46912671144641527)","(True, 11.005511094671977, 0.0)"
21s,0.02302838687757136,1.783432075663196,0.02674046694962853,0.1488253636659417,"(False, 0.8611811798556219, 0.38913826380345995)","(True, 11.98338799068112, 0.0)"
22s,0.02302838687757136,1.783432075663196,0.027049192756313015,0.1563633839840435,"(False, 0.8513520933890628, 0.3945737952251034)","(True, 11.405688660749314, 0.0)"
23s,0.02264779117452853,1.782011245588997,0.03697389411870103,0.15026686377761173,"(False, 0.6125346467921404, 0.540184082238562)","(True, 11.858976761678438, 0.0)"
24s,0.02264779117452853,1.782011245588997,0.03163251518656368,0.14459575971515842,"(False, 0.7159655512992047, 0.47401262033150826)","(True, 12.324090617175845, 0.0)"
25s,0.02264779117452853,1.782011245588997,0.028620543269292323,0.13578111825593966,"(False, 0.7913124136545618, 0.4287617062501754)","(True, 13.124146188205692, 0.0)"
26s,0.022169788489510456,1.780621799337311,0.037311377701889414,0.18352724969182738,"(False, 0.5941830576893385, 0.5523896831969579)","(True, 9.702220255178835, 0.0)"
27s,0.022169788489510456,1.780621799337311,0.03166134895658291,0.13416247091593417,"(False, 0.7002161695609307, 0.4837923150693135)","(True, 13.272130329598982, 0.0)"
28s,0.02224728377027374,1.778686194421617,0.03148961962828669,0.15917095302741596,"(False, 0.7064957923559455, 0.4798798684453289)","(True, 11.174690862818746, 0.0)"
29s,0.02224728377027374,1.778686194421617,0.03289782309443729,0.16315674962248378,"(False, 0.6762539790675555, 0.4988794062329771)","(True, 10.901701575553487, 0.0)"
30s,0.02280106135839155,1.7759043734276077,0.03852535400190549,0.14501612338880016,"(False, 0.5918456026974807, 0.5539539828675815)","(True, 12.246254636570734, 0.0)"
31s,0.02298021523822047,1.773734007247345,0.034198596426403355,0.14556228724744863,"(False, 0.6719636955766516, 0.5016068087006309)","(True, 12.18539527502811, 0.0)"
32s,0.02298021523822047,1.773734007247345,0.03303977750309274,0.13738317517984144,"(False, 0.6955317794155657, 0.48672210250155645)","(True, 12.910853202551467, 0.0)"
