k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	0.211912	0.008409	0.170000	0.218118	0.008494	0.680000
2	0.050114	0.004819	0.340000	0.054936	0.004681	0.360000
3	0.025155	0.003823	0.120000	0.025453	0.003538	0.220000
4	0.013398	0.002888	0.200000	0.014110	0.003041	0.200000
5	0.009240	0.002290	0.040000	0.011190	0.002365	0.010000
6	0.007800	0.002005	0.030000	0.009221	0.002195	0.010000
7	0.006265	0.002156	0.010000	0.007906	0.001831	0.020000
8	0.005128	0.001618	0.010000	0.007005	0.001797	0.000000
9	0.004447	0.001831	0.010000	0.006563	0.001637	0.000000
10	0.003805	0.001501	0.000000	0.006723	0.001498	0.000000
11	0.003441	0.001419	0.000000	0.006892	0.001298	0.000000
12	0.003138	0.001414	0.010000	0.006432	0.001157	0.000000
13	0.003229	0.001419	0.000000	0.006191	0.001151	0.000000
14	0.003370	0.001120	0.000000	0.006568	0.001154	0.000000
15	0.003043	0.001109	0.000000	0.006120	0.001140	0.000000
