# time X1 X2
0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00
1.000025000625015710e-02 9.899671415301123378e-01 -9.847185754830140025e-01
2.000050001250031420e-02 9.737612342256842801e-01 -9.547443650180278407e-01
3.000075001875047304e-02 9.657267854393442041e-01 -9.371787898408707740e-01
4.000100002500062840e-02 9.666139221998265585e-01 -9.169013092952855715e-01
5.000125003125078377e-02 9.500217426841185420e-01 -8.905583901359556132e-01
6.000150003750094607e-02 9.337273637371057422e-01 -8.722424403030855089e-01
7.000175004375110144e-02 9.358210060532932140e-01 -8.716984944833532367e-01
8.000200005000125680e-02 9.297786508118726090e-01 -8.425756344929842268e-01
9.000225005625141217e-02 9.115732422719394767e-01 -8.116005898489039305e-01
1.000025000625015675e-01 9.038251073358352095e-01 -8.117957448664193665e-01
1.100027500687517229e-01 8.860937006100201296e-01 -8.041106994743705272e-01
1.200030000750018921e-01 8.685549125708454943e-01 -7.658307963047716882e-01
1.300032500812520475e-01 8.584598321792734632e-01 -7.458521415566848889e-01
1.400035000875022029e-01 8.270131707031193047e-01 -7.283581074084144458e-01
1.500037500937523582e-01 7.978520701339157917e-01 -7.153383604048260125e-01
1.600040001000025136e-01 7.806739823381427801e-01 -7.084920033093440317e-01
1.700042501062526690e-01 7.591964712948704452e-01 -6.933512596993144372e-01
1.800045001125028243e-01 7.512802236093779618e-01 -6.666735197106641309e-01
1.900047501187529797e-01 7.313538130195187392e-01 -6.501635641073675309e-01
2.000050001250031351e-01 7.066664200554337860e-01 -6.275590876073634528e-01
2.100052501312532904e-01 7.111184481060581764e-01 -5.936264252462242208e-01
2.200055001375034458e-01 6.987813684939011560e-01 -5.834949427982238923e-01
2.300057501437536012e-01 6.895513621418503103e-01 -5.646312443636571921e-01
2.400060001500037843e-01 6.655852104364790023e-01 -5.389409963106638335e-01
2.500062501562539397e-01 6.507908261053090282e-01 -5.328806226822231373e-01
2.600065001625040950e-01 6.427277406279434668e-01 -5.157712881747429368e-01
2.700067501687542504e-01 6.222116710065673795e-01 -4.818903300467319295e-01
2.800070001750044058e-01 6.173370828297247703e-01 -4.704739305508627845e-01
2.900072501812545611e-01 6.028049554494850915e-01 -4.450857258653162507e-01
3.000075001875047165e-01 5.916345397677309492e-01 -4.320462373787608001e-01
3.100077501937548718e-01 5.775408970608658654e-01 -3.997299048318033177e-01
3.200080002000050272e-01 5.882896204111875971e-01 -4.021872846718563266e-01
3.300082502062551826e-01 5.802608155363371267e-01 -3.875158499150349045e-01
3.400085002125053379e-01 5.619435188418395732e-01 -3.884292383673434990e-01
3.500087502187554933e-01 5.626073865826163312e-01 -3.815537141464789839e-01
3.600090002250056487e-01 5.428651076463475444e-01 -3.748063648579661455e-01
3.700092502312558040e-01 5.376510606956418359e-01 -3.637278642807250106e-01
3.800095002375059594e-01 5.108592095284840706e-01 -3.619734991448709249e-01
3.900097502437561148e-01 4.906588894484905095e-01 -3.490711597290173662e-01
4.000100002500062701e-01 4.859755571140517150e-01 -3.309757830869153872e-01
4.100102502562564255e-01 4.868455884274307532e-01 -3.329850565822618513e-01
4.200105002625065809e-01 4.820258900721448581e-01 -3.260045309167339256e-01
4.300107502687567362e-01 4.744191256929572997e-01 -2.873345642799363664e-01
4.400110002750068916e-01 4.652272246587351723e-01 -2.711688472484785617e-01
4.500112502812570470e-01 4.444338882722311812e-01 -2.766345708178114537e-01
4.600115002875072023e-01 4.314079344514726855e-01 -2.778728837572311816e-01
4.700117502937573577e-01 4.210981029785739183e-01 -2.628351124659302762e-01
4.800120003000075686e-01 4.261441686486476810e-01 -2.492001009555285806e-01
4.900122503062577239e-01 4.240729093530681282e-01 -2.425825279629820752e-01
