# time X1 X2
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
1.000025000625015710e-02 1.004967141530112240e+00 1.975281424516986073e+00
2.000050001250031420e-02 1.003411234225684234e+00 1.965655634981972044e+00
3.000075001875047304e-02 1.009682285439344129e+00 1.944017210159129094e+00
4.000100002500062840e-02 1.024535847199826488e+00 1.925482730704714207e+00
5.000125003125078377e-02 1.021576368634118381e+00 1.913401809464044145e+00
6.000150003750094607e-02 1.018586244425605525e+00 1.893678157300914267e+00
7.000175004375110144e-02 1.033660900922928061e+00 1.856562897144606650e+00
8.000200005000125680e-02 1.040281453690950819e+00 1.848403143218696254e+00
9.000225005625141217e-02 1.034425911010785404e+00 1.842468400085659708e+00
1.000025000625015675e-01 1.038719594336965590e+00 1.805732555168798603e+00
1.100027500687517229e-01 1.032726884241315313e+00 1.777242317560495222e+00
1.200030000750018921e-01 1.026628529451002025e+00 1.779708690559745454e+00
1.300032500812520475e-01 1.027680410324951055e+00 1.764231950439187235e+00
1.400035000875022029e-01 1.007091963527319445e+00 1.746625143667499103e+00
1.500037500937523582e-01 9.885049912852534870e-01 1.724895058160328398e+00
1.600040001000025136e-01 9.816215413707929383e-01 1.697339081070158739e+00
1.700042501062526690e-01 9.701637101590915302e-01 1.678421513836393375e+00
1.800045001125028243e-01 9.719966539526353477e-01 1.671381526089686487e+00
1.900047501187529797e-01 9.615533542883453189e-01 1.654510931234979720e+00
2.000050001250031351e-01 9.460873383882838494e-01 1.644068662781560386e+00
2.100052501312532904e-01 9.595032960075243755e-01 1.645285047638810560e+00
2.200055001375034458e-01 9.558769252807778338e-01 1.623027415357960468e+00
2.300057501437536012e-01 9.551085751516391609e-01 1.609825890210965227e+00
2.400060001500037843e-01 9.393591369890430531e-01 1.603771566918212210e+00
2.500062501562539397e-01 9.325405762084918448e-01 1.578404814914364129e+00
2.600065001625040950e-01 9.322164204180773961e-01 1.564401295045878548e+00
2.700067501687542504e-01 9.192063269149030047e-01 1.567480527341683416e+00
2.800070001750044058e-01 9.216086464659191124e-01 1.548403218263668446e+00
2.900072501812545611e-01 9.141281891933902282e-01 1.543602651461069675e+00
3.000075001875047165e-01 9.097879830608288643e-01 1.526755256174361142e+00
3.100077501937548718e-01 9.023068133887983677e-01 1.529483573785787476e+00
3.200080002000050272e-01 9.194539449689287380e-01 1.497734059159558484e+00
3.300082502062551826e-01 9.176131035676579062e-01 1.483406280478065664e+00
3.400085002125053379e-01 9.052768946448126464e-01 1.453783670721826127e+00
3.500087502187554933e-01 9.117184931730054620e-01 1.432237065851798885e+00
3.600090002250056487e-01 8.975540570708241406e-01 1.410846507340328904e+00
3.700092502312558040e-01 8.977213849868651563e-01 1.394068479195587074e+00
3.800095002375059594e-01 8.761178122941767343e-01 1.368244880896678062e+00
