File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
37s,0.029292148206278512,0.8288075399751635,0.021578498840436434,0.05715162162413736,"(False, 1.3574692300368596, 0.1746321639341626)","(True, 14.501907669845115, 0.0)"
38s,0.029292148206278512,0.8288075399751635,0.021856943019969127,0.05925709438655875,"(False, 1.3401758964881947, 0.18018816594134024)","(True, 13.986638200120076, 0.0)"
39s,0.029292148206278512,0.8288075399751635,0.0198378878115885,0.050129063941789787,"(False, 1.4765759583118123, 0.13978934019461442)","(True, 16.533473294805198, 0.0)"
40s,0.029292148206278512,0.8288075399751635,0.021365660837631098,0.05646518631161953,"(False, 1.3709919121568466, 0.17037747728880026)","(True, 14.678204290359522, 0.0)"
41s,0.01700362873947156,0.6940981123113326,0.01967157965268537,0.039452937167194065,"(False, 0.8643753597668195, 0.38738172419287187)","(True, 17.593065615618844, 0.0)"
42s,0.01700362873947156,0.6940981123113326,0.016540449153474798,0.04664344034943599,"(False, 1.0280028421053764, 0.30394849078139363)","(True, 14.880937321762664, 0.0)"
43s,0.01700362873947156,0.6940981123113326,0.016416673668613758,0.03856621076243172,"(False, 1.0357535931276975, 0.30031711265176586)","(True, 17.997570894039463, 0.0)"
44s,0.01700362873947156,0.6940981123113326,0.01931604044657243,0.03789076935681865,"(False, 0.8802854180442969, 0.37870471004134965)","(True, 18.31839585454144, 0.0)"
45s,0.01700362873947156,0.6940981123113326,0.017572219131992764,0.033449362728188055,"(False, 0.967642652971132, 0.33322286762352027)","(True, 20.750712590599232, 0.0)"
46s,0.01700362873947156,0.6940981123113326,0.018857814925783114,0.04036528180280673,"(False, 0.9016754489526546, 0.36722929850801944)","(True, 17.195423426055946, 0.0)"
47s,0.022241755980379585,0.5944343428121486,0.014516541237796938,0.03481714781550753,"(False, 1.532166348445895, 0.1254813903769827)","(True, 17.073033838440608, 0.0)"
48s,0.022241755980379585,0.5944343428121486,0.015084998804489687,0.03356169448119885,"(False, 1.4744287532697624, 0.14036618748348828)","(True, 17.71169042567707, 0.0)"
49s,0.022241755980379585,0.5944343428121486,0.015566213427133298,0.03465577047065588,"(False, 1.4288481964155921, 0.1530478695053601)","(True, 17.152535775116434, 0.0)"
50s,0.022241755980379585,0.5944343428121486,0.014810735357991794,0.03112301789840386,"(False, 1.5017320506221894, 0.13316632302193376)","(True, 19.099508433037723, 0.0)"
51s,0.014695912830024083,0.5322584053528097,0.01235421723401021,0.02243559255492333,"(False, 1.1895462538547052, 0.23422478103469602)","(True, 23.723839878524153, 0.0)"
52s,0.014695912830024083,0.5322584053528097,0.013040077762360965,0.026076007756618117,"(False, 1.1269804596137103, 0.2597507427525074)","(True, 20.411805761091706, 0.0)"
53s,0.014695912830024083,0.5322584053528097,0.01433726589079036,0.027501573718132347,"(False, 1.0250150162496534, 0.3053561023721634)","(True, 19.35374356420487, 0.0)"
54s,0.014695912830024083,0.5322584053528097,0.014784798950837692,0.03062792661726035,"(False, 0.9939880061197198, 0.3202287066471041)","(True, 17.37820558355575, 0.0)"
55s,0.014695912830024083,0.5322584053528097,0.01467190348909789,0.030095949069809405,"(False, 1.0016364162253406, 0.3165192261865595)","(True, 17.685383641439703, 0.0)"
56s,0.016287911690479828,0.47254123084116983,0.013664748287068583,0.026021934305842633,"(False, 1.1919657316991075, 0.23327468234678328)","(True, 18.159343009911122, 0.0)"
57s,0.016287911690479828,0.47254123084116983,0.012430342370558565,0.026319540162051663,"(False, 1.3103349211891353, 0.19008255877573177)","(True, 17.95400785620467, 0.0)"
58s,0.016287911690479828,0.47254123084116983,0.013927874847786318,0.025873588602919037,"(False, 1.1694470167549367, 0.242223576270987)","(True, 18.263459239970217, 0.0)"
59s,0.024053648798360916,0.42075711224495715,0.013764607420941143,0.02240790093300869,"(False, 1.747499806043598, 0.08055067852149933)","(True, 18.777176563876502, 0.0)"
60s,0.024053648798360916,0.42075711224495715,0.011181309434303798,0.022960877543629955,"(True, 2.1512371998726114, 0.03145748223522005)","(True, 18.32495780901405, 0.0)"
61s,0.024053648798360916,0.42075711224495715,0.01156127646868736,0.02186021078286658,"(True, 2.080535731803316, 0.03747642176591737)","(True, 19.247623750029657, 0.0)"
62s,0.020453886754647765,0.39237663715379445,0.011432604193282502,0.021918840766370674,"(False, 1.789083782561626, 0.0736013235391364)","(True, 17.901340738594374, 0.0)"
63s,0.020453886754647765,0.39237663715379445,0.010551021591579762,0.019203402788186115,"(False, 1.9385693202420304, 0.05255380233038487)","(True, 20.432661934018462, 0.0)"
64s,0.020453886754647765,0.39237663715379445,0.012451111524983396,0.0226043359221297,"(False, 1.6427358082534758, 0.10043760660756984)","(True, 17.358467795979657, 0.0)"
65s,0.01810342438121959,0.35808778350632076,0.01161871875213643,0.020918473024496027,"(False, 1.5581257079564617, 0.11920345164693846)","(True, 17.11825634151171, 0.0)"
66s,0.01810342438121959,0.35808778350632076,0.011383789935867939,0.017459150776952075,"(False, 1.5902809594350902, 0.11177148856294372)","(True, 20.510034427277784, 0.0)"
67s,0.01810342438121959,0.35808778350632076,0.010947816788966775,0.016981006882303182,"(False, 1.6536104622671661, 0.09820668556269552)","(True, 21.087547163030905, 0.0)"
68s,0.017130367115236245,0.33565721584203967,0.009905021918654666,0.018904368183527642,"(False, 1.729462817540433, 0.08372629566960188)","(True, 17.755537375457767, 0.0)"
