Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
2,1,-0.00017183087473765513,0.00029355083267679325,0.008503245500036663,0.53,50
2,3,-0.006734392226530217,0.0005041790013810837,0.008744811379545244,0.79,50
2,4,0.008103274268683847,0.0002335656755614818,0.008092156495578942,0.18,50
2,5,-0.005694240148689078,5.8978072043534004e-05,0.009257166127249503,0.75,50
2,6,-0.00043315624603440517,-3.036062038040299e-05,0.009120380503100848,0.49,50
2,7,-0.009347643507261028,0.0006936079240955,0.008694077856597421,0.87,50
2,8,0.001868152275001811,-0.0009159499135920296,0.00997857240600429,0.36,50
2,9,-0.005743152962482234,-0.0018010871116064331,0.009201723341557723,0.68,50
2,10,0.00944157261249745,0.00045368378720202495,0.008665025882389791,0.16,50
2,11,0.006210223901406131,-0.000387891867451719,0.00870972139175904,0.25,50
2,12,0.008819618875951674,-0.00034895837162980724,0.010393709671666005,0.18,50
2,13,-0.0005806963264419207,0.0004354912216054091,0.00942324499181528,0.51,50
2,14,0.013435163397717664,0.0009992052086041014,0.008366023748952824,0.08,50
2,15,0.009769705653034477,0.000239093380151294,0.008798821871311218,0.15,50
2,16,0.005298344296485014,5.782303639471076e-05,0.009795462477309187,0.29,50
2,17,-0.0007834958037510331,0.0006637327807958643,0.007995712321800904,0.58,50
2,18,0.011508483304997041,0.0015327309677448608,0.009454219179173148,0.13,50
2,19,-0.005833008092277714,0.0005182067553907333,0.008864559772051882,0.76,50
2,20,-0.06531669126279732,-0.07413945551361117,0.004481038424180766,0.04,50
2,21,-0.07085993173798083,-0.08227479225822906,0.003649254037165035,0.0,50
2,22,-0.007430489906290028,-0.01612144885419968,0.006418778604767969,0.08,50
2,23,-0.0059147954715351725,-0.0036187219869033603,0.007879445348050178,0.62,50
2,24,-0.04793602965770433,-0.06317744798759235,0.004567729353789913,0.0,50
2,25,-0.035415352514272025,-0.048615037829183416,0.005146093604448436,0.01,50
2,26,-0.09839167839006746,-0.1057167175643647,0.0026832378005247778,0.0,50
2,27,-0.10028063408768106,-0.10729082170490326,0.002865929496520925,0.01,50
2,28,-0.013890070165782309,-0.0027472069661006833,0.008965981725826763,0.9,50
2,29,-0.002485725332300459,-0.0018113825064055079,0.008107140852953245,0.53,50
2,30,0.0019140307306963478,-0.0024660875058725527,0.008355901766620794,0.28,50
2,31,-0.026670857910687185,-0.051320334333368044,0.004178530128576963,0.0,50
2,32,0.010046962871119891,-0.0003547326462333678,0.007769832771639938,0.08,50
2,33,-0.011934256771796214,-0.002907685521705662,0.008770108032607105,0.82,50
2,34,-0.09374562919863294,-0.10293882526786793,0.00369579485531726,0.02,50
2,35,-0.03653916930211182,-0.04499721716495546,0.005885819409478033,0.08,50
3,0,0.02363610402730465,-0.00027589566271680967,0.008632186198094515,0.0,50
3,1,-0.007592258254833284,0.002483444628225705,0.008449921675082475,0.86,50
3,2,-0.0135090535842326,-0.0012225080244472487,0.010387313561257829,0.91,50
3,4,-0.008851035452215161,-0.0007697252163659251,0.009651116944481524,0.81,50
