Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
0,1,0.01384803657985495,0.0020619087131368186,0.0074148070898077895,0.05,100
0,2,0.00635889897755626,-0.0011148786405125904,0.00813826002251642,0.12,100
0,3,-0.010905933348571761,-0.0005480275196577522,0.008691555413112001,0.84,100
0,4,-0.015760539630407355,-0.0003813007961211612,0.009024814675978321,0.97,100
0,5,-0.010420134854493557,-0.00027236976138190263,0.00833346406614131,0.92,100
0,6,-0.0021676059620427957,0.0004780877017798552,0.007877418415902634,0.68,100
0,7,0.019331334248055054,0.0011941453875517955,0.006910536575383419,0.01,100
0,8,0.021770803506235947,0.00036165439579928624,0.009029386170232646,0.01,100
0,9,0.01345727502431232,0.0011243531132881246,0.0072020539239629104,0.04,100
0,10,-0.011605247591586654,-0.00023709666311633236,0.008922433402128088,0.9,100
0,11,-0.00225280151972701,0.0010348705917859768,0.00844844155307104,0.64,100
0,12,0.0003261006347309303,0.0006416106066773153,0.008422129224112769,0.5,100
0,13,0.003284800130949339,7.907195107403675e-05,0.008319398521161835,0.33,100
0,14,-0.003030521791011709,0.0005193440746633077,0.00952085676552505,0.67,100
0,15,-0.003043966355945449,-0.00059885819243927,0.008805331800265229,0.61,100
0,16,0.006144205577389317,0.0010289186414377432,0.008397685912460824,0.25,100
0,17,-0.0056263903207982024,0.0007057238756836209,0.00819405720925834,0.8,100
0,18,-0.004616443789511815,-0.00074948989569953,0.008353697268672645,0.71,100
0,19,0.002893117667184586,0.0005735732000272309,0.008702807872425406,0.36,100
0,20,-0.06813815312482024,-0.0698009753673734,0.003910081286728939,0.33,100
0,21,-0.07927149845704917,-0.07905628153076273,0.0034486098783524715,0.5,100
0,22,-0.01014999312459941,-0.014431778274480979,0.005358754280695094,0.22,100
0,23,0.22936718014915236,-0.0017642248357264683,0.006724510358156163,0.0,100
0,24,-0.05551277789884268,-0.057873219813965725,0.0043339541476356295,0.27,100
0,25,-0.04274612676123868,-0.044654583026725245,0.004573630524509179,0.37,100
0,26,-0.10321134262984422,-0.10180169153534954,0.0028125649847009714,0.68,100
0,27,-0.09851871687370817,-0.10387789554535243,0.0029596834969935547,0.04,100
0,28,0.009416748639628325,-0.0022244366482713908,0.007660782433742652,0.06,100
0,29,-0.009789923884478968,-0.0038794973806152,0.008127393705712171,0.78,100
0,30,-0.005048607077601575,-0.002115943443187389,0.007505164127695778,0.69,100
0,31,-0.04548430637021256,-0.04810241186952597,0.004633881655436847,0.28,100
0,32,0.006171414200299152,-0.0014832070297064231,0.0074213681360409825,0.15,100
0,33,-0.004913322309777479,-0.00124299987806536,0.0068424980161280085,0.69,100
0,34,-0.09740070378400845,-0.10139369141394379,0.0028457640338650047,0.08,100
0,35,-0.0359710058727839,-0.04060351366716204,0.005350558498597007,0.18,100
1,0,0.012877848398981151,0.0005239198139570122,0.008307061171388661,0.05,100
1,2,0.01284439564280404,-0.00014824044932710724,0.008729611958602739,0.06,100
1,3,0.007893619263911855,1.3441815105963429e-05,0.008126511804567745,0.15,100
1,4,0.0019060246620172805,0.0004928305205366302,0.008465711844891718,0.4,100
1,5,-0.021971459381957492,-0.0003235224657160568,0.008284383774343724,0.99,100
1,6,0.001460998653457446,-0.0012551064601001843,0.008638072335531573,0.41,100
1,7,0.011978654024271285,0.0005084555881227398,0.007722519414700069,0.09,100
1,8,-0.0001974195059714079,-0.001392223633851301,0.006843513700861546,0.44,100
1,9,0.009070819772768857,-0.00016956341690880228,0.009348066200669185,0.17,100
1,10,-0.0030647942802671246,-0.0012247401105203448,0.008023783230426648,0.62,100
1,11,0.0019471859787975054,-0.000620133928050332,0.009224685218093094,0.42,100
1,12,0.0056078889880076255,0.0013573165055845904,0.008673746196593148,0.37,100
1,13,0.012838785823363952,0.00040364029418374803,0.008429456453459525,0.07,100
1,14,-0.010189831609711375,0.00028276718810187285,0.0078076402659320015,0.92,100
1,15,-0.005488621527904969,0.0005758973985435978,0.007587673055151855,0.81,100
1,16,0.007366115405703366,-0.0008222573895724333,0.009354171403296571,0.18,100
1,17,0.007547089588082201,-0.00036615679648350553,0.008080125591205328,0.18,100
1,18,-0.010640309026927308,0.0016009002398328304,0.008134270714665964,0.92,100
1,19,-0.014339596892514628,-0.00054993439036082,0.008381043923302547,0.92,100
1,20,-0.07012154701981427,-0.07031452638591831,0.0040194600625453585,0.44,100
1,21,-0.08459894293296544,-0.08042335515175371,0.0033633768193953306,0.91,100
1,22,-0.017884303078188113,-0.010889404402892766,0.007207679700780094,0.87,100
1,23,-0.011588858969721005,-0.0014537409985739807,0.007804894511381463,0.92,100
1,24,-0.04361534638892206,-0.0584595978139985,0.004339043423221688,0.0,100
1,25,-0.038450762755553924,-0.045217603652428974,0.00465955197875643,0.08,100
1,26,-0.10551698509219842,-0.1027056079159073,0.0027778867895906223,0.85,100
1,27,-0.10820049351717331,-0.10477123532093888,0.002909908107789268,0.91,100
1,28,-0.00234425899648133,-0.001711061022924566,0.007771924378424315,0.46,100
1,29,0.017699287204487824,-0.0015172172893242015,0.007735312337272998,0.01,100
1,30,0.021458224847404117,-0.0020170430678382546,0.007682815150498386,0.0,100
1,31,-0.034860655141086216,-0.04771133932197029,0.005440337080649228,0.02,100
1,32,0.06271007016233132,-0.00033069052402874663,0.007707830930121657,0.0,100
1,33,-0.014009640688813552,-0.0013092217385914323,0.0073761540856239535,0.97,100
1,34,-0.09654570057336687,-0.1023385437721424,0.0027729204653452084,0.02,100
1,35,-0.03756922039069688,-0.03957335071257805,0.004182400873411514,0.33,100
2,0,0.017980597938542175,-0.00034672441766188,0.007845425694518647,0.02,100
2,1,0.001340424689806996,-0.0005648000236395117,0.008409442383331937,0.42,100
2,3,0.0009012438339185413,0.00030780943277929795,0.008910942498377098,0.44,100
2,4,0.005242874033942635,0.0009664657835177986,0.009522123621093562,0.27,100
2,5,0.0004199392069400565,-3.6092302077354036e-05,0.008266754465587537,0.47,100
2,6,-0.007506370200930146,-0.00011480538847465527,0.00827217371637328,0.82,100
2,7,-0.007648733755043047,0.000552446473806153,0.0078624510038117,0.86,100
2,8,0.003732598502310003,0.0006038055415127947,0.009381494821442175,0.41,100
2,9,-0.000777898219913864,3.785442649416881e-05,0.00833272160670645,0.53,100
2,10,0.020667694052165786,0.0010422667192302353,0.008282516655796351,0.01,100
2,11,0.01112330763757019,-0.0017498888888327147,0.008513496517288116,0.07,100
2,12,0.005174316979264515,-0.0002729238179825033,0.007565929687566935,0.22,100
2,13,0.01957783606620417,-0.00035362710123366226,0.007953498405396138,0.0,100
2,14,0.008702193753982734,0.00040648505710425166,0.00768456640439251,0.18,100
2,15,-0.011412148836065117,-0.0013138889243403762,0.008436693304708774,0.91,100
2,16,0.0013250893882100212,0.0008102466017792643,0.008732564633642064,0.51,100
2,17,-0.005008481250570185,0.0008624526067329341,0.008841723950099502,0.75,100
2,18,0.0034921421364719762,-0.0009377395353891688,0.009213405336610352,0.34,100
2,19,-0.01148185010669972,0.00019434391076012525,0.008248261078263042,0.92,100
2,20,-0.06477152530144076,-0.07025138640954255,0.003419389829878876,0.05,100
2,21,-0.08157633757706206,-0.08026004438384411,0.0032864135175738112,0.66,100
2,22,-0.0031907584945012335,-0.010669579908748526,0.0061215161509136015,0.09,100
2,23,0.022536383935860882,-0.0026465983497271257,0.008263867469099824,0.0,100
2,24,-0.05437621439605239,-0.0581426894583809,0.0039051174130537466,0.14,100
2,25,-0.03845023608652359,-0.04472348433238706,0.004672641238392154,0.12,100
2,26,-0.0998663961515901,-0.1023232848153322,0.002656439858483806,0.14,100
2,27,-0.10029861848211707,-0.10507281209262936,0.002858989979313946,0.07,100
2,28,0.05588556616166207,-0.0018917867194349059,0.00813049245578965,0.0,100
2,29,0.013353678290749738,-0.002744590141032064,0.008075731388504726,0.03,100
2,30,0.015336893109832828,-0.002221818121604834,0.007765663724241468,0.0,100
2,31,-0.035452673627981324,-0.04633348722540683,0.004648638775957056,0.0,100
2,32,0.010507221069172845,-0.0006073959290872561,0.008360725705365937,0.1,100
2,33,-0.011059064039265265,-0.001550747016058482,0.007047264713510341,0.91,100
2,34,-0.1009299018482589,-0.1018706695470705,0.002743795713393392,0.36,100
2,35,-0.03994225823994246,-0.0384474372339968,0.00419772041420831,0.62,100
3,0,0.02496852968416735,-0.001203786567952947,0.007977806560961148,0.0,100
3,1,0.0017464318951420643,-0.0010645837974530947,0.008396653723041693,0.34,100
3,2,0.02817599719911712,0.0004869103382188722,0.008606703810300122,0.0,100
3,4,-0.01086573328486462,0.0007044344184947921,0.008244089106543114,0.92,100
3,5,0.000882974965992156,0.00043455167026997253,0.0071840166517812285,0.47,100
3,6,0.001348825863761005,0.000841614352996537,0.008137227854767058,0.47,100
3,7,0.008371363600031434,0.0015534073739902439,0.007636731749422789,0.2,100
3,8,0.0013143406856958029,0.0006822959668247175,0.00878617946035058,0.46,100
3,9,-0.010971660625928692,0.0014043696077257184,0.0084757009609405,0.94,100
3,10,-0.014526729960966489,0.0017689666962947199,0.008609629205185288,0.97,100
3,11,0.026319699667432916,0.0007441517845847584,0.008785799555816121,0.0,100
3,12,0.008699540927344984,-0.0002155981638481519,0.008269365765709582,0.12,100
3,13,0.016903700751096817,-0.0001054311535873953,0.00816446889620238,0.02,100
3,14,0.004265755929488857,-0.0018586538591408386,0.009222929462391855,0.24,100
3,15,-0.0016964935947013093,0.0003600250685172324,0.008816395665642848,0.57,100
3,16,-0.0015406950262049635,-0.00025612481237935746,0.007631441396989768,0.57,100
3,17,-0.011741946051232688,0.0010369374270344117,0.007371840266400079,0.95,100
3,18,0.00901512392934517,2.7239865854605805e-05,0.008341654876913131,0.15,100
3,19,0.0026408578943541983,-0.00026649511015996107,0.008684735917112787,0.35,100
3,20,-0.057409266430475225,-0.0713076226359978,0.0035782053815925706,0.0,100
3,21,-0.08036218582517196,-0.08095595882275405,0.0034710031628696833,0.4,100
3,22,0.03708575043803197,-0.013394209811157244,0.006545096860770169,0.0,100
3,23,0.012300543947083409,-0.001628949718986518,0.007868679851827914,0.03,100
3,24,-0.05729057071780519,-0.059870717703285406,0.004079262811452292,0.22,100
3,25,-0.05182772939645991,-0.04525917598849217,0.004235931317620352,0.93,100
3,26,-0.10216432925969898,-0.10281943410496598,0.002692857159588831,0.4,100
3,27,-0.10438599035709328,-0.1047950045161403,0.0025887687049723686,0.46,100
3,28,0.03406731519604139,-0.0009260548611318153,0.006848738620223027,0.0,100
3,29,0.0226650618944797,-0.002588072237345291,0.00689452220346618,0.0,100
3,30,0.07223781608014251,-0.0011661090679179191,0.006747532546656318,0.0,100
3,31,-0.04035047993361862,-0.048210154236998023,0.004667213474850497,0.04,100
3,32,0.017571979867323395,-0.0005819456019159569,0.007442765697925089,0.01,100
3,33,0.000985291232360186,-0.003637664111730665,0.007473267903036476,0.25,100
3,34,-0.10197875142760904,-0.10231722154032045,0.002772498431151867,0.47,100
3,35,-0.030738377552127105,-0.041237185699079436,0.005308219786535252,0.01,100
4,0,0.010584387793071748,-0.0009517458428931236,0.008147154348770393,0.08,100
4,1,0.007306839165196866,-3.088379073499292e-05,0.008364228627204954,0.18,100
4,2,-0.002696909621267063,-9.022177357535966e-05,0.008189364429179958,0.63,100
4,3,0.0020944553694932644,-2.9156100529819095e-05,0.0077461818206348105,0.36,100
4,5,-0.010249350872677365,-0.0009516242038473949,0.008209493072631774,0.86,100
4,6,0.0018104052738772136,0.0002018940890553178,0.007825773390065323,0.43,100
4,7,0.0060297253501801484,-0.00021502840256097888,0.007950107956499046,0.22,100
