k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	0.257524	0.002650	0.000000	-0.270051	0.002124	1.000000
2	0.297978	0.001817	0.000000	-0.142449	0.001352	1.000000
3	0.271421	0.001701	0.000000	-0.067325	0.001375	0.000000
4	0.256215	0.001394	0.000000	-0.039600	0.001106	0.000000
5	0.246374	0.001235	0.000000	-0.032596	0.000948	0.000000
6	0.246467	0.001017	0.000000	-0.027114	0.000958	0.000000
7	0.250289	0.001019	0.000000	-0.020853	0.000821	0.000000
8	0.246426	0.001005	0.000000	-0.015401	0.000841	0.000000
9	0.227215	0.000828	0.000000	-0.010740	0.000711	0.000000
10	0.204962	0.000931	0.000000	-0.007925	0.000738	0.000000
11	0.193560	0.000857	0.000000	-0.006874	0.000707	0.000000
12	0.181517	0.000785	0.000000	-0.006143	0.000709	0.000000
13	0.167827	0.000752	0.000000	-0.006027	0.000706	0.000000
14	0.157897	0.000692	0.000000	-0.005603	0.000630	0.000000
15	0.149478	0.000643	0.000000	-0.004049	0.000633	0.000000
