k_history	AIS_col1	AIS_col2
1	10.079077	8.017345
2	10.148950	9.279089
3	10.150305	9.278406
4	10.148883	9.278410
5	10.150689	9.279552
6	10.150492	9.280936
7	10.148930	9.281109
8	10.151358	9.280743
9	10.147716	9.280479
10	10.149670	9.280452
11	10.151195	9.280417
12	10.154132	9.280351
13	10.149512	9.281053
14	10.148168	9.281387
15	10.147855	9.281729
