k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	0.147070	0.002936	0.000000	-0.525829	0.002427	1.000000
2	0.236797	0.001711	0.000000	-0.162426	0.001650	1.000000
3	0.152277	0.001317	0.000000	-0.062094	0.001537	0.000000
4	0.157102	0.001148	0.000000	-0.001408	0.001175	0.000000
5	0.145082	0.001033	0.000000	-0.033991	0.000893	1.000000
6	0.145780	0.000953	0.000000	-0.036759	0.001050	1.000000
7	0.133334	0.000841	0.000000	-0.027710	0.000840	1.000000
8	0.131478	0.000848	0.000000	-0.014177	0.000839	0.000000
9	0.122790	0.000602	0.000000	-0.011712	0.000744	0.000000
10	0.120214	0.000693	0.000000	-0.005658	0.000754	0.000000
11	0.116228	0.000665	0.000000	-0.001985	0.000634	0.000000
12	0.112069	0.000537	0.000000	0.001580	0.000624	0.000000
13	0.110693	0.000581	0.000000	0.003037	0.000583	0.000000
14	0.109072	0.000570	0.000000	0.006101	0.000563	0.000000
15	0.105044	0.000551	0.000000	0.004177	0.000487	0.000000
