k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	0.236020	0.005652	0.000000	-0.913075	0.001846	0.000000
2	0.237915	0.003036	0.000000	-0.466109	0.001305	0.000000
3	0.251140	0.002024	0.000000	-0.304517	0.001266	0.240000
4	0.252496	0.001711	0.000000	-0.223647	0.001107	1.000000
5	0.236224	0.001307	0.000000	-0.175252	0.001057	1.000000
6	0.228899	0.001273	0.000000	-0.143870	0.001023	1.000000
7	0.237091	0.001011	0.000000	-0.121242	0.000953	1.000000
8	0.244341	0.001057	0.000000	-0.103541	0.000744	1.000000
9	0.239196	0.000941	0.000000	-0.088688	0.001034	1.000000
10	0.225348	0.000852	0.000000	-0.077757	0.000844	1.000000
11	0.212683	0.000862	0.000000	-0.068857	0.000809	1.000000
12	0.202028	0.000864	0.000000	-0.061588	0.000728	1.000000
13	0.191127	0.000780	0.000000	-0.055480	0.000766	1.000000
14	0.179643	0.000769	0.000000	-0.050677	0.000637	1.000000
15	0.169861	0.000802	0.000000	-0.046496	0.000605	1.000000
