k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	-0.333587	0.004961	0.000000	-0.892201	0.002109	0.000000
2	0.077507	0.002268	0.000000	-0.451977	0.001628	1.000000
3	0.141139	0.001937	0.000000	-0.134089	0.001698	0.000000
4	0.194730	0.001486	0.000000	-0.052685	0.001379	0.000000
5	0.187154	0.001301	0.000000	-0.041995	0.001184	0.000000
6	0.201456	0.001116	0.000000	-0.054316	0.001060	0.000000
7	0.200722	0.000878	0.000000	-0.069278	0.000935	0.310000
8	0.199646	0.000881	0.000000	-0.053859	0.000911	0.000000
9	0.193197	0.000824	0.000000	-0.039935	0.000885	0.000000
10	0.197522	0.000777	0.000000	-0.035970	0.000764	0.000000
11	0.198268	0.000693	0.000000	-0.030041	0.000737	0.000000
12	0.195416	0.000704	0.000000	-0.024233	0.000720	0.000000
13	0.195412	0.000659	0.000000	-0.017627	0.000728	0.000000
14	0.195235	0.000585	0.000000	-0.013430	0.000614	0.000000
15	0.195196	0.000588	0.000000	-0.011357	0.000560	0.000000
