k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	-0.515508	0.001948	1.000000	0.018789	0.002114	0.000000
2	-0.147203	0.001049	1.000000	0.019377	0.001520	0.000000
3	-0.125837	0.000778	1.000000	0.021402	0.001161	0.000000
4	-0.053220	0.000639	1.000000	0.021584	0.001090	0.000000
5	-0.036632	0.000659	0.060000	0.021878	0.001109	0.000000
6	0.002054	0.000555	0.000000	0.021680	0.000951	0.000000
7	-0.054372	0.000542	1.000000	0.041524	0.000951	0.000000
8	-0.080322	0.000516	1.000000	0.055197	0.000796	0.000000
9	-0.082917	0.000455	1.000000	0.059485	0.000680	0.000000
10	-0.070559	0.000457	1.000000	0.062604	0.000665	0.000000
11	-0.075217	0.000421	1.000000	0.065727	0.000563	0.000000
12	-0.059397	0.000315	1.000000	0.067752	0.000674	0.000000
13	-0.060094	0.000394	1.000000	0.070278	0.000561	0.000000
14	-0.039772	0.000364	1.000000	0.071681	0.000544	0.000000
15	-0.035344	0.000408	1.000000	0.073617	0.000473	0.000000
