Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,-0.35588232283684335,0.0028785699082630773,50.66859390971754,0.22478950243248622,1.0,0.0
Var1,Var2,4.261013427108706e-05,2.803953097024622e-05,0.008524546821551038,0.005609384121541752,-0.006083100726497081,0.0029088539218623147
Var1,Var3,-2.0693489722677323e-06,9.620483541966897e-06,0.00035286753650418904,0.0016399410827059183,-0.0019187195759294655,0.0029171089465797233
Var1,Var4,-1.1601782012394855e-05,2.1281037632017225e-05,0.0019448438359098345,0.003565101469092542,0.0021682617029223816,0.0032034956451094053
Var1,Var5,-0.00042666976767326503,0.0002514818287748603,0.060748976551730456,0.03581402523539257,-0.07373688702972406,0.003228478834202451
Var1,Var6,-0.004763239169154926,0.00039188870557792764,0.7307510392047336,0.060424600321768926,0.10868678547919433,0.0032532394199368125
Var1,Var7,4.005317145779221e-06,1.5194228565099643e-05,0.0006469965710897233,0.002442258246117651,0.003123935000476613,0.0031686255729989512
Var1,Var8,1.289562784587002e-06,1.1840983248481903e-05,0.00020446803566379776,0.0018747162752660957,0.0008618843067884598,0.003251263722799653
Var1,Var9,0.00011432899042464981,8.225480190963923e-05,0.017726720855609335,0.012755189414652538,-0.0246283709680551,0.0031660618316651833
Var1,Var10,1.7164778644947768e-05,2.1115565886217246e-05,0.0027649359688521934,0.0033822447195424525,-0.003708060957869559,0.003206506973339163
Var1,Var11,-0.04984511894365395,0.002215976847335571,7.926305630139379,0.34987173392877313,0.6531686341603641,0.0019369714743650492
Var1,Var12,3.1919971440335485e-05,2.480904503941153e-05,0.003983015684411431,0.0030941627002587543,-0.006275560096848543,0.002978925228110413
Var1,Var13,4.3846114435010145e-06,1.5510331861590097e-05,0.00038459611532704947,0.0013575748812799497,0.0010044940252478516,0.0029202320293048546
Var1,Var14,1.8801990327685734e-05,2.3078865560073758e-05,0.0025740098395891026,0.003159234321241868,-0.0034223004939123902,0.0032312657390548842
Var1,Var15,0.0009423675908539567,0.00018057040664328194,0.13457263366659822,0.02565761646285369,-0.04972820637711938,0.003238354997065722
Var1,Var16,-0.003271492781924294,0.00034257766683884434,0.5097801191318857,0.05300847564010862,0.09802121513200886,0.003285282978647566
Var1,Var17,1.6945628760707726e-05,2.1397398667198695e-05,0.002448090100904408,0.0030855780277479457,0.004021916702061162,0.003112168175898576
Var1,Var18,6.779004910812228e-06,1.611774502587339e-05,0.0009134710630838111,0.0021721223573653186,-0.0034715117659364545,0.0032926100940824815
Var1,Var19,-1.7657957306470407e-05,2.1206469868057853e-05,0.0028757737732062307,0.0034548916697465792,0.003640819271833979,0.0031000301241927495
Var1,Var20,-1.1304455513516286e-05,2.216693618458545e-05,0.0018383783074199032,0.003583799131697857,0.0018663710173625664,0.0031134611664701416
Var1,Var21,1.2331746486557273e-07,1.0437978216186408e-07,0.015731593677407677,0.01382178224583313,0.009150103037320093,0.0031381423577372504
Var1,Var22,3.6198555392062767e-06,1.7304361429622195e-06,0.5249283643761251,0.25555647385797126,0.006646983749509647,0.003187238512121
Var1,Var23,8.431404826206043e-07,8.421345127725779e-07,0.01893605667180829,0.01861816414791063,-0.013663358528211905,0.0031743570494560504
Var1,Var24,-0.001642348187558854,7.781849696896635e-05,16.02633615292936,1.3948870454723492,-0.06781389165153817,0.003147435779788864
Var1,Var25,4.963091506788905e-08,1.2174020737257307e-07,0.001852969317905585,0.004533370366411623,0.009814136745444159,0.0030742218839604827
Var1,Var26,1.6387636832916059e-06,2.5389184505051672e-06,0.021569778462802856,0.03371822553048194,0.002055704132642549,0.003178344532362136
Var1,Var27,5.898635287211458e-10,6.17149881708208e-10,0.00015899057481781224,0.0001666733370306531,-0.005679556914643223,0.003218825986998285
Var1,Var28,-8.517511740816423e-08,1.3872704522434734e-07,0.008621958164884648,0.014039545302531192,-0.0019451696132391976,0.0031679173370061557
Var1,Var29,4.7042538451986827e-07,9.043649262841961e-07,0.0011923251899538115,0.002287032810378421,-0.006283629377360469,0.003123771581694676
Var1,Var30,0.004300931716698862,9.918233307183559e-05,3.5360477931537937,0.11691584784324266,0.14587054533293464,0.0031008836906819544
Var1,Var31,-1.0704798780644321e-07,8.76797633818591e-07,0.0002659645960491692,0.002145247566141851,0.004468608383965538,0.003134487728902521
Var1,Var32,8.97277880541707e-05,1.5803689972751792e-05,0.2745740113111643,0.04845691403157174,0.018166281768593803,0.0031897398214319112
Var1,Var33,9.488833842271049e-07,2.2035255417483705e-06,0.0028183965529911446,0.006512614630185097,0.012925356459583238,0.003082933242135458
Var1,Var34,0.00023845290756886641,2.1052405566916515e-05,0.4539796390800035,0.04056908481072718,0.0572153908516042,0.003215902142169251
Var1,Var35,3.9527632323255814e-08,2.769694843132145e-08,0.0021726262882893733,0.0015197721359599518,0.010010615674467597,0.0031221053146447604
Var1,Var36,-3.2033589697579806e-07,2.521671110467308e-07,0.006423367125549023,0.005104647429400555,0.006516954766283873,0.003202141575179122
Var2,Var1,-3.248453171068481e-05,6.182280962368265e-05,0.004624971345796867,0.008780000434709171,-0.006083100726497081,0.0029088539218623147
Var2,Var2,-0.10037972912497507,0.009068384508512613,20.081882291581667,1.6958310292289236,1.0,0.0
Var2,Var3,0.010548072421804439,0.0010480049421578198,1.7986682672816705,0.17301931371055276,-0.02744300318673465,0.0026488060581834347
Var2,Var4,-0.017751463718154135,0.001820215521423294,2.9757346547060908,0.2841633555731139,0.17877370893480524,0.0028269541353842984
Var2,Var5,3.648872562283741e-05,6.565791920711278e-05,0.005195242094025615,0.009327961548545498,-0.0019812726784883676,0.0029870258603285423
Var2,Var6,3.078322504492135e-05,7.665810135687398e-05,0.00472260008217064,0.011742591405689085,-0.0013706869470941545,0.0029991625449039307
Var2,Var7,0.0016792956331666104,0.0011436043867650773,0.2712640415128396,0.18343451672738362,-0.10509680703575962,0.00290761943628018
Var2,Var8,0.0008944783854765144,0.0003129415871578764,0.1418249972843948,0.04922804060323443,0.027769772600192952,0.003027162324778885
Var2,Var9,5.028284401894368e-05,7.457236553035294e-05,0.007796359754767688,0.011553726298087793,-0.004766036148198085,0.0032071258823246724
Var2,Var10,1.847536924737889e-05,4.9784552911664075e-05,0.002976048455185833,0.00796920244009265,-0.0029909838693286785,0.0030508340838988194
Var2,Var11,-5.096518667171218e-06,3.8378684294363474e-05,0.0008104417335501768,0.0060863812144437415,-0.0013183805855970468,0.0030244135080140402
Var2,Var12,0.0478156254871446,0.008194484489013791,5.9664961364776925,0.9134077363819417,0.8829873990038456,0.0006134379010725353
Var2,Var13,0.18259350795095847,0.00404917019258625,16.016186325008643,0.3742631420103227,-0.4371232508866668,0.0021882584163335104
Var2,Var14,-0.04681931996280638,0.002617086735608615,6.409608140776427,0.30936290529977506,0.26681261289070324,0.0028086818200107173
Var2,Var15,0.00010499012144403649,0.00010314328774844202,0.014992872514744182,0.01470124200300235,-0.003366809081579988,0.0029140390021940694
Var2,Var16,-1.8348796535164817e-05,4.740779481175305e-05,0.0028591998537502838,0.007376965927809418,0.0023981648558107113,0.0031074714807614355
Var2,Var17,-0.006709795607097168,0.0026019058727880418,0.9693463982236107,0.3688997114891673,-0.24681739236007705,0.002849600380050621
Var2,Var18,0.03886702241771883,0.0026375269842147686,5.237332138554541,0.3268722373952044,0.23635698071291447,0.0029229095200360793
Var2,Var19,-7.765106509701239e-07,3.718448550824524e-05,0.0001264624738817845,0.006046458941819988,-0.0006750253295181211,0.0031523457726967178
Var2,Var20,8.077833117722183e-06,4.498872993632957e-05,0.0013136513436514355,0.007258249672068887,-0.0028940813553576454,0.003091143024014522
Var2,Var21,1.172898927248375e-05,3.5392630986286767e-06,1.4962657048012358,0.5273066956345772,0.010515542043237132,0.003163008794122847
Var2,Var22,3.9728947726691267e-07,4.5761570660373663e-07,0.057612386247682834,0.06523741732065316,-0.007298756560151902,0.0030640969339292105
Var2,Var23,-0.00011802581587694902,2.930888198961924e-05,2.6507368395309223,0.6233944117328981,0.012865534397085744,0.003185523885533798
Var2,Var24,1.2928211723837164e-06,3.0175747702202212e-06,0.012615587152102117,0.02922172052867613,-0.003553192090035805,0.0030127273137963116
Var2,Var25,9.875960952835621e-06,8.860090018081642e-06,0.3687188238501354,0.33166244477297446,-0.0034890490652329693,0.003129636441423891
Var2,Var26,-1.5599933942993108e-06,1.5413036678510147e-06,0.02053298609283646,0.020387623436582646,0.012220964534792973,0.0030710326405299303
Var2,Var27,4.278546757479361e-08,1.5922424838105294e-08,0.011532304935538973,0.004313523628108508,-0.008256547477095012,0.0030594366293313045
Var2,Var28,2.1455973344118863e-08,2.2533837994260782e-08,0.0021719078316426374,0.002276324961594863,0.01265477631345659,0.0030784145947470583
Var2,Var29,-0.0002541493135190904,0.00010631900703898999,0.6441587518232277,0.26596106975549166,-0.007413338541342337,0.003096959236508022
Var2,Var30,-1.8922949989731648e-06,1.4258454384022063e-05,0.0015557665166213844,0.011668411693291981,-0.01854954825171632,0.002992177149529498
Var2,Var31,1.9931024644536326e-05,5.128033768732679e-05,0.049519351340026566,0.12541949518076204,-0.0012150676282523321,0.003119089565609866
Var2,Var32,3.364989476697528e-07,1.3138017717672204e-06,0.0010297129559004544,0.004012907278591438,0.012372076787084857,0.003065049232588172
Var2,Var33,3.975482933288104e-05,1.2330737357615052e-05,0.11808076294623622,0.036622580332579494,0.021433183740239184,0.003127457143297438
